id,left,top,right,bottom,row_index,col_index,최종_레이블_결과(2)_행정동,최종_레이블_결과(2)_클러스터링,최종_레이블_결과(2)_유동인구,최종_레이블_결과(2)_견인횟수,최종_레이블_결과(2)_유동인구_레이블,최종_레이블_결과(2)_견인횟수_레이블,최종_레이블_결과(2)_유동인구+견인횟수
2466,964512.697936273063533,1951334.899299999698997,964628.167990111163817,1951234.899299999931827,14,43,,,,,,,
2467,964512.697936273063533,1951234.899299999931827,964628.167990111163817,1951134.899299999698997,15,43,,,,,,,
2476,964512.697936273063533,1950334.899299999698997,964628.167990111163817,1950234.899299999931827,24,43,,,,,,,
2477,964512.697936273063533,1950234.899299999931827,964628.167990111163817,1950134.899299999698997,25,43,광장동,0,0,0,1,1,4
2478,964512.697936273063533,1950134.899299999698997,964628.167990111163817,1950034.899299999931827,26,43,광장동,0,0,7,1,1,4
2479,964512.697936273063533,1950034.899299999931827,964628.167990111163817,1949934.899299999698997,27,43,광장동,0,0,0,1,1,4
2472,964512.697936273063533,1950734.899299999698997,964628.167990111163817,1950634.899299999931827,20,43,,,,,,,
2473,964512.697936273063533,1950634.899299999931827,964628.167990111163817,1950534.899299999698997,21,43,,,,,,,
2474,964512.697936273063533,1950534.899299999698997,964628.167990111163817,1950434.899299999931827,22,43,,,,,,,
2475,964512.697936273063533,1950434.899299999931827,964628.167990111163817,1950334.899299999698997,23,43,,,,,,,
2452,964512.697936273063533,1952734.899299999698997,964628.167990111163817,1952634.899299999931827,0,43,,,,,,,
2453,964512.697936273063533,1952634.899299999931827,964628.167990111163817,1952534.899299999698997,1,43,,,,,,,
2454,964512.697936273063533,1952534.899299999698997,964628.167990111163817,1952434.899299999931827,2,43,,,,,,,
2455,964512.697936273063533,1952434.899299999931827,964628.167990111163817,1952334.899299999698997,3,43,,,,,,,
2460,964512.697936273063533,1951934.899299999698997,964628.167990111163817,1951834.899299999931827,8,43,,,,,,,
2461,964512.697936273063533,1951834.899299999931827,964628.167990111163817,1951734.899299999698997,9,43,,,,,,,
2462,964512.697936273063533,1951734.899299999698997,964628.167990111163817,1951634.899299999931827,10,43,,,,,,,
2463,964512.697936273063533,1951634.899299999931827,964628.167990111163817,1951534.899299999698997,11,43,,,,,,,
2456,964512.697936273063533,1952334.899299999698997,964628.167990111163817,1952234.899299999931827,4,43,,,,,,,
2457,964512.697936273063533,1952234.899299999931827,964628.167990111163817,1952134.899299999698997,5,43,,,,,,,
2458,964512.697936273063533,1952134.899299999698997,964628.167990111163817,1952034.899299999931827,6,43,,,,,,,
2459,964512.697936273063533,1952034.899299999931827,964628.167990111163817,1951934.899299999698997,7,43,,,,,,,
2436,964426.095395894721150,1948684.899299999931827,964541.565449732705019,1948584.899299999931827,41,42,,,,,,,
2437,964426.095395894721150,1948584.899299999931827,964541.565449732705019,1948484.899299999931827,42,42,,,,,,,
2438,964426.095395894721150,1948484.899299999931827,964541.565449732705019,1948384.899299999931827,43,42,,,,,,,
2439,964426.095395894721150,1948384.899299999931827,964541.565449732705019,1948284.899299999931827,44,42,,,,,,,
